State,Units,Coal (K short tons),Natural Gas (M cubic ft),Crude Oil (K barrels),Fuel Ethanol (K barrels),Biodiesel (K barrels),Renewable Diesel (K barrels)
Alabama,Physical,13011.0,57.0,7329.0,NA,NA,NA
Alabama,Physical,14832.0,203.0,8064.0,NA,NA,NA
Alabama,Physical,14219.0,252.0,8030.0,NA,NA,NA
Alabama,Physical,15486.0,248.0,7348.0,NA,NA,NA
Alabama,Physical,16440.0,230.0,7635.0,NA,NA,NA
Alabama,Physical,17456.0,180.0,7701.0,NA,NA,NA
Alabama,Physical,20560.0,627.0,7263.0,NA,NA,NA
Alabama,Physical,17945.0,355.0,7832.0,NA,NA,NA
Alabama,Physical,20814.0,3644.0,9934.0,NA,NA,NA
Alabama,Physical,19230.0,11271.0,11677.0,NA,NA,NA
Alabama,Physical,19824.0,27865.0,13323.0,NA,NA,NA
Alabama,Physical,22644.0,37814.0,13477.0,NA,NA,NA
Alabama,Physical,21537.0,41427.0,14706.0,NA,NA,NA
Alabama,Physical,21545.0,57227.0,18252.0,NA,NA,NA
Alabama,Physical,20553.0,85599.0,19829.0,NA,NA,NA
Alabama,Physical,24176.0,85815.0,19161.0,NA,NA,NA
Alabama,Physical,26403.0,65294.0,22153.0,NA,NA,NA
Alabama,Physical,24467.0,79244.0,20680.0,0.0,NA,NA
Alabama,Physical,26556.0,75003.0,20014.0,0.0,NA,NA
Alabama,Physical,23812.0,90801.0,18746.0,0.0,NA,NA
Alabama,Physical,27088.0,101822.0,19804.0,0.0,NA,NA
Alabama,Physical,27797.0,107342.0,21581.0,0.0,NA,NA
Alabama,Physical,25826.0,107184.0,21122.0,0.0,NA,NA
Alabama,Physical,25540.0,117241.0,20607.0,0.0,NA,NA
Alabama,Physical,26518.0,129524.0,20797.0,0.0,NA,NA
Alabama,Physical,27992.0,128411.0,19813.0,0.0,NA,NA
Alabama,Physical,29030.0,135276.0,18538.0,0.0,NA,NA
Alabama,Physical,27269.0,170847.0,18637.0,0.0,NA,NA
Alabama,Physical,25796.0,275805.0,19025.0,0.0,NA,NA
Alabama,Physical,24768.0,301509.0,18677.0,0.0,NA,NA
Alabama,Physical,23266.0,394770.0,18345.0,0.0,NA,NA
Alabama,Physical,24640.0,375958.0,18731.0,0.0,NA,NA
Alabama,Physical,24637.0,378786.0,16868.0,0.0,NA,NA
Alabama,Physical,24468.0,388596.0,14832.0,0.0,NA,NA
Alabama,Physical,23013.0,392394.0,12398.0,0.0,NA,NA
Alabama,Physical,19504.0,381701.0,11123.0,0.0,NA,NA
Alabama,Physical,19324.0,363467.0,10457.0,0.0,NA,NA
Alabama,Physical,19513.0,356810.0,9334.0,0.0,0.0,0.0
Alabama,Physical,19061.0,356061.0,8636.0,0.0,0.0,0.0
Alabama,Physical,20207.0,346145.0,7894.0,0.0,0.0,0.0
Alabama,Physical,22329.0,316021.0,7443.0,0.0,0.0,0.0
Alabama,Physical,21453.0,296528.0,7861.0,0.0,0.0,0.0
Alabama,Physical,19022.0,286220.0,7539.0,0.0,0.0,0.0
Alabama,Physical,19522.0,270407.0,7171.0,0.0,100.0,0.0
Alabama,Physical,21157.0,257884.0,7696.0,0.0,114.0,0.0
Alabama,Physical,19171.0,236029.0,7189.0,0.0,8.0,0.0
Alabama,Physical,20396.0,222932.0,7155.0,0.0,0.0,0.0
Alabama,Physical,19381.0,195581.0,8373.0,0.0,0.0,0.0
Alabama,Physical,19455.0,215710.0,9525.0,0.0,26.0,0.0
Alabama,Physical,18628.0,196326.0,10408.0,0.0,586.0,0.0
Alabama,Physical,16377.0,181060.0,9831.0,0.0,426.0,0.0
Alabama,Physical,13193.0,168246.0,9694.0,0.0,356.0,0.0
Alabama,Physical,9643.0,164815.0,8112.0,0.0,351.0,0.0
Alabama,Physical,12861.0,150038.0,6832.0,0.0,292.0,0.0
Alabama,Physical,14783.0,139477.0,5887.0,0.0,304.0,0.0
Alabama,Physical,14124.0,130069.0,4859.0,0.0,275.0,0.0
Alabama,Physical,12151.0,117030.0,4.0,0.0,287.0,0.0
Alabama,Physical,9444.0,107233.0,4.0,0.0,297.0,0.0
Alabama,Physical,10460.0,95790.0,3820.0,0.0,302.0,0.0
Alaska,Physical,722.0,246.0,559.0,NA,NA,NA
Alaska,Physical,893.0,7255.0,11128.0,NA,NA,NA
Alaska,Physical,927.0,11267.0,14358.0,NA,NA,NA
Alaska,Physical,925.0,14438.0,29126.0,NA,NA,NA
Alaska,Physical,750.0,17343.0,66204.0,NA,NA,NA
Alaska,Physical,667.0,50864.0,73953.0,NA,NA,NA
Alaska,Physical,549.0,111576.0,83616.0,NA,NA,NA
Alaska,Physical,698.0,121618.0,79494.0,NA,NA,NA
Alaska,Physical,668.0,125596.0,72893.0,NA,NA,NA
Alaska,Physical,694.0,131007.0,72323.0,NA,NA,NA
Alaska,Physical,700.0,128935.0,70603.0,NA,NA,NA
Alaska,Physical,766.0,160270.0,69834.0,NA,NA,NA
Alaska,Physical,706.0,166072.0,63398.0,NA,NA,NA
Alaska,Physical,705.0,187889.0,169201.0,NA,NA,NA
Alaska,Physical,731.0,203088.0,448620.0,NA,NA,NA
Alaska,Physical,789.0,220754.0,511335.0,NA,NA,NA
Alaska,Physical,791.0,230588.0,591646.0,NA,NA,NA
Alaska,Physical,808.0,242564.0,587337.0,0.0,NA,NA
Alaska,Physical,833.0,264364.0,618910.0,0.0,NA,NA
Alaska,Physical,786.0,276691.0,625527.0,0.0,NA,NA
Alaska,Physical,859.0,289129.0,630401.0,0.0,NA,NA
Alaska,Physical,1433.0,321346.0,666233.0,0.0,NA,NA
Alaska,Physical,1570.0,304841.0,681310.0,0.0,NA,NA
Alaska,Physical,1492.0,359837.0,715955.0,0.0,NA,NA
Alaska,Physical,1745.0,378638.0,738143.0,0.0,NA,NA
Alaska,Physical,1582.0,393729.0,683979.0,0.0,NA,NA
Alaska,Physical,1706.0,402907.0,647309.0,0.0,NA,NA
Alaska,Physical,1436.0,437822.0,656349.0,0.0,NA,NA
Alaska,Physical,1534.0,443597.0,627322.0,0.0,NA,NA
Alaska,Physical,1601.0,430350.0,577495.0,0.0,NA,NA
Alaska,Physical,1567.0,555402.0,568951.0,0.0,NA,NA
Alaska,Physical,1698.0,469550.0,541654.0,0.0,NA,NA
Alaska,Physical,1481.0,480828.0,509999.0,0.0,NA,NA
Alaska,Physical,1450.0,468311.0,472949.0,0.0,NA,NA
Alaska,Physical,1344.0,466648.0,428850.0,0.0,NA,NA
Alaska,Physical,1565.0,462967.0,383199.0,0.0,NA,NA
Alaska,Physical,1641.0,458995.0,355199.0,0.0,NA,NA
Alaska,Physical,1514.0,471440.0,351411.0,0.0,0.0,0.0
Alaska,Physical,1146.0,463301.0,359382.0,0.0,0.0,0.0
Alaska,Physical,1081.0,489757.0,355603.0,0.0,0.0,0.0
Alaska,Physical,1512.0,471899.0,332441.0,0.0,0.0,0.0
Alaska,Physical,1454.0,487282.0,315387.0,0.0,0.0,0.0
Alaska,Physical,1425.0,444724.0,270481.0,0.0,0.0,0.0
Alaska,Physical,1324.0,433485.0,263595.0,0.0,0.0,0.0
Alaska,Physical,1477.0,398442.0,249893.0,0.0,0.0,0.0
Alaska,Physical,1860.0,397077.0,235510.0,0.0,0.0,0.0
Alaska,Physical,2151.0,374226.0,218904.0,0.0,0.0,0.0
