State,Units,Coal (T Btu),Natural Gas (T Btu),Crude Oil (T Btu),Fuel Ethanol (T Btu),Biodiesel (T Btu),Renewable Diesel (T Btu)
Alabama,Thermal,318.8,0.1,42.5,0.0,NA,45.7
Alabama,Thermal,21.0,428.0,363.4,0.3,46.8,0.0
Alabama,Thermal,NA,47.6,24.0,482.0,348.4,0.4
Alabama,Thermal,46.6,0.0,NA,49.1,23.0,468.0
Alabama,Thermal,379.5,0.4,42.6,0.0,NA,49.1
Alabama,Thermal,31.0,502.0,402.8,0.4,44.3,0.0
Alabama,Thermal,NA,52.9,25.0,525.0,427.7,0.3
Alabama,Thermal,44.7,0.0,NA,53.3,25.0,551.0
Alabama,Thermal,503.8,1.0,42.1,0.0,NA,52.4
Alabama,Thermal,26.0,625.0,439.7,0.9,45.4,0.0
Alabama,Thermal,NA,54.1,33.0,574.0,510.0,4.2
Alabama,Thermal,57.6,0.0,NA,58.7,34.0,665.0
Alabama,Thermal,453.4,11.9,67.7,3.4,NA,59.1
Alabama,Thermal,40.0,635.0,463.4,29.5,77.3,70.2
Alabama,Thermal,NA,58.5,35.0,734.0,534.7,40.0
Alabama,Thermal,78.2,30.0,NA,57.6,41.0,782.0
Alabama,Thermal,508.5,43.7,85.3,46.6,NA,62.9
Alabama,Thermal,32.0,779.0,505.6,60.4,105.9,210.2
Alabama,Thermal,NA,66.7,35.0,984.0,492.2,91.3
Alabama,Thermal,115.0,249.8,NA,66.6,26.0,1041.0
Alabama,Thermal,579.9,96.5,111.1,240.3,NA,67.9
Alabama,Thermal,40.0,1136.0,633.4,75.4,128.5,256.3
Alabama,Thermal,NA,141.0,32.0,1266.0,592.5,90.1
Alabama,Thermal,119.9,260.8,0.0,150.2,20.0,1234.0
Alabama,Thermal,645.4,87.1,116.1,306.7,0.0,153.3
Alabama,Thermal,36.0,1345.0,577.1,101.9,108.7,274.2
Alabama,Thermal,0.0,164.5,38.0,1264.0,657.1,113.4
Alabama,Thermal,114.9,262.5,0.0,175.1,36.0,1359.0
Alabama,Thermal,676.3,120.0,125.2,152.0,0.0,175.4
Alabama,Thermal,23.0,1272.0,634.5,118.8,122.5,122.3
Alabama,Thermal,0.0,159.0,17.0,1175.0,627.5,129.0
Alabama,Thermal,119.5,117.5,0.0,151.7,25.0,1170.0
Alabama,Thermal,649.8,141.3,120.6,137.6,0.0,157.5
Alabama,Thermal,18.0,1225.0,680.3,140.5,114.9,122.0
Alabama,Thermal,0.0,165.0,45.0,1267.0,707.8,147.5
Alabama,Thermal,107.5,127.5,0.0,143.7,35.0,1269.0
Alabama,Thermal,662.2,183.8,108.1,166.4,0.0,143.2
Alabama,Thermal,36.0,1300.0,623.9,292.3,110.3,203.1
Alabama,Thermal,0.0,148.7,35.0,1413.0,600.9,319.6
Alabama,Thermal,108.3,187.2,0.0,174.9,31.0,1421.0
Alabama,Thermal,568.6,415.8,106.4,214.1,0.0,214.5
Alabama,Thermal,39.0,1558.0,607.2,395.3,108.6,218.0
Alabama,Thermal,0.0,222.0,32.0,1583.0,607.0,399.8
Alabama,Thermal,97.8,312.0,0.0,208.6,38.0,1663.0
Alabama,Thermal,600.7,411.6,86.0,310.3,0.0,181.9
Alabama,Thermal,39.0,1629.0,568.3,414.2,71.9,300.7
Alabama,Thermal,0.0,209.2,36.0,1600.0,477.6,422.5
Alabama,Thermal,64.5,322.8,0.0,210.7,26.0,1524.0
