Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References,Status,Status Date
284,US,Congestion Mitigation and Air Quality (CMAQ) Improvement Program,"The CMAQ Program provides funding to state departments of transportation
(DOTs), local governments, and transit agencies for projects and
programs that help meet the requirements of the Clean Air Act by
reducing mobile source emissions and regional congestion on
transportation networks. Eligible activities include transit
improvements, travel demand management strategies, congestion relief
efforts (such as high occupancy vehicle lanes), diesel retrofit
projects, alternative fuel vehicles and infrastructure, and medium- or
heavy-duty zero emission vehicles and related charging equipment.
Projects supported with CMAQ funds must demonstrate emissions
reductions, be located in or benefit a U.S. Environmental Protection
Agency-designated [nonattainment or maintenance
area](https://www3.epa.gov/airquality/greenbook/ancl.html), and be a
transportation project. For more information, see the [Bipartisan
Infrastructure Law
CMAQ](https://www.fhwa.dot.gov/bipartisan-infrastructure-law/cmaq.cfm)
fact sheet and [CMAQ Improvement
Program](http://www.fhwa.dot.gov/environment/air_quality/cmaq/) website.

(Reference [Public Law 117-58](https://www.congress.gov/public-laws/117th-congress), [Public Law 112-141](https://www.congress.gov/public-laws/112th-congress), and [23 U.S. Code 149 and 151](https://www.govinfo.gov/))",2005-08-10 00:00:00 UTC,2021-11-15 00:00:00 UTC,false,54,Incentives,U.S. Department of Transportation,2021-11-29 21:00:16 UTC,,,,"",BIOD|ETH|ELEC|HY|IR|NG|PHEV|LPG,GNT,"",STATION|FLEET|GOV|TRANS,https://www.congress.gov/public-laws/117th-congress|https://www.congress.gov/public-laws/112th-congress|https://www.govinfo.gov/|https://www.govinfo.gov/,amended,2021-11-15
288,US,Clean Cities and Communities ,"The mission of Clean Cities and Communities is to foster the economic,
environmental, and energy security of the United States by working
locally to advance affordable, domestic transportation fuels and
technologies. Nearly 100 volunteer coalitions carry out this mission by
developing public/private partnerships to promote alternative and
renewable fuels, idle-reduction measures, fuel economy, improvements,
and emerging transportation technologies. Clean Cities and Communities
provides information about funding opportunities, coordinates technical
assistance projects, updates and maintains databases and websites, and
publishes technical and informational materials. For more information,
see the [Clean Cities and Communities](https://cleancities.energy.gov/)
website.
",,,false,21,Programs,U.S. Department of Energy,,,,,"",AFTMKTCONV|BIOD|ETH|ELEC|EFFEC|HEV|HY|IR|NG|NEVS|PHEV|LPG,GNT|OTHER,"",STATION|AFP|PURCH|MAN|FLEET|GOV|IND,"",,
317,US,State Energy Program (SEP) Funding,"The SEP provides grants to states to assist in designing, developing,
and implementing renewable energy and energy efficiency programs,
including programs to help reduce carbon emissions in the transportation
sector by 2050 and accelerate the use of alternative transportation
fuels for, and the electrification of, state government vehicles, fleet
vehicles, taxis and ridesharing services, mass transit, school buses,
ferries, and privately owned passenger and medium- and heavy-duty
vehicles. Each state's energy office receives SEP funding and manages
all SEP-funded projects. States may also receive project funding from
technology programs in the U.S. Department of Energy's Office of Energy
Efficiency and Renewable Energy (EERE) for SEP Special Projects. EERE
distributes the funding through an annual competitive solicitation to
state energy offices. SEP is authorized through fiscal year 2026.

For more information, see the
[SEP](http://energy.gov/eere/wipo/state-energy-program) website.

(Reference [Public Law 117-58](https://www.congress.gov/public-laws/117th-congress) and [42 U.S. Code 6322 through 6325](https://www.govinfo.gov/))",,2021-11-15 00:00:00 UTC,false,26,Incentives,U.S. Department of Energy,2021-11-29 21:33:02 UTC,,,,"",BIOD|ETH|ELEC|EFFEC|HY|NG|PHEV|LPG,GNT,"",GOV,https://www.congress.gov/public-laws/117th-congress|https://www.govinfo.gov/,amended,2021-11-15
323,US,Clean School Bus,"The U.S. Environmental Protection Agency's (EPA) Clean School Bus
program provides funding to eligible applicants for the replacement of
existing school buses with clean, alternative fuel school buses or zero
emission school buses. EPA may award up to 100% of the cost of the
replacement bus, charging equipment, or fueling infrastructure.
Alternative fuels include electricity, natural gas, hydrogen, or
propane. Eligible applicants are school districts, state and local
government programs, federally recognized Indian tribes, non-profit
organizations, and eligible contractors. EPA will prioritize funding for
high-need local education agencies; low income, rural and tribal
schools; and, applications that cost share through public-private
partnerships, grants from other entities, or school bonds. For more
information, including funding availability, timeline, and application
materials, see the EPA [Clean School
Bus](https://www.epa.gov/cleanschoolbus) website.

(Reference [Public Law 117-58](https://www.congress.gov/public-laws/117th-congress) and [42 U.S. Code 16091](https://www.govinfo.gov/))",,2021-11-15 00:00:00 UTC,false,33,Incentives,U.S. Environmental Protection Agency,2022-08-16 12:38:06 UTC,,,,"",AFTMKTCONV|ETH|ELEC|EFFEC|HY|IR|NG|PHEV|LPG,GNT,"",FLEET|GOV|TRIBAL,https://www.congress.gov/public-laws/117th-congress|https://www.govinfo.gov/,amended,2021-11-15
324,US,Clean Construction and Agriculture,"Clean Construction is a voluntary program that promotes the reduction of
diesel exhaust emissions from construction equipment and vehicles by
encouraging proper operations and maintenance, use of emissions-reducing
technologies, and use of cleaner fuels.

Clean Agriculture is a voluntary program that promotes the reduction of
diesel exhaust emissions from agricultural equipment and vehicles by
encouraging proper operations and maintenance by farmers, ranchers, and
agribusinesses, use of emissions-reducing technologies, and use of
cleaner fuels.

Clean Construction and Clean Agriculture are part of the U.S.
Environmental Protection Agency\'s [Diesel Emissions Reduction Act
(DERA) Program](http://www.epa.gov/cleandiesel/), which offers funding
for clean diesel construction and agricultural equipment projects.

For more information, see the [Reducing Diesel Emissions from
Construction and
Agriculture](https://www.epa.gov/dera/reducing-diesel-emissions-construction-and-agriculture)
website.
",,,false,34,Programs,U.S. Environmental Protection Agency,,,,,"",BIOD|ELEC|HEV|HY|NG|PHEV|LPG,GNT,"",PURCH|FLEET|OTHER,"",,
325,US,Ports Initiative,"The U.S. Environmental Protection Agency\'s (EPA) Ports Initiative is an
incentive-based program designed to reduce emissions by encouraging port
authorities and terminal operators to retrofit and replace older diesel
engines with new technologies and use cleaner fuels. EPA\'s Ports
Initiative offers funding to port authorities and public entities to
help them overcome barriers that impede the adoption of cleaner diesel
technologies and strategies. For more information, see the [Ports
Initiative](https://www.epa.gov/ports-initiative) website.
",,,false,34,Programs,U.S. Environmental Protection Agency,,,,,"",BIOD|ELEC|HEV|HY|NG|PHEV|LPG,GNT|OTHER,"",FLEET|GOV,"",,
383,US,Voluntary Airport Low Emission (VALE) Program,"The goal of the VALE Program is to reduce ground level emissions at
commercial service airports located in designated ozone and carbon
monoxide air quality nonattainment and maintenance areas. The VALE
Program provides funding through the Airport Improvement Program and the
Passenger Facility Charges program for the purchase of low emission
vehicles, development of fueling and recharging stations, implementing
gate electrification, and other airport air quality improvements. For
more information, see the [VALE
Program](http://www.faa.gov/airports/environmental/vale/) website.
(Reference 49 [U.S. Code](https://www.govinfo.gov/) 47139)
",2005-08-10 00:00:00 UTC,,false,56,Programs,U.S. Department of Transportation,,,,,"",BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG,GNT,"",STATION|FLEET,"",enacted,2005-08-10
392,US,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Manufacturing Loans,"The U.S. Department of Energy (DOE) provides grants or loan guarantees
through the Loan Guarantee Program for the domestic production of
efficient hybrid vehicles, plug-in hybrid electric vehicles,
all-electric vehicles, and hydrogen fuel cell electric vehicles. The
program is not intended for research and development projects. DOE may
issue loan guarantees for at least 50% of the amount of the loan for an
eligible project. Eligible projects may include the deployment of
fueling infrastructure, including associated hardware and software, for
alternative fuels. For loan guarantees of over 80%, the loan must be
issued and funded by the Treasury Department's Federal Financing Bank.
For more information, see the [DOE Loan Guarantee
Program](http://www.energy.gov/lpo/loan-programs-office) website and the
[Alternative Fuel
Infrastructure](https://energy.gov/sites/prod/files/2017/01/f34/FactSheet_Vehicle_Announcements_01_9_17.pdf)
fact sheet.
",2005-08-08 00:00:00 UTC,2022-08-16 00:00:00 UTC,false,27,Incentives,U.S. Department of Energy,2022-11-10 00:59:26 UTC,,,,"",ELEC|HEV|HY|PHEV,LOANS,"",MAN,"",amended,2022-08-16
409,US,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Tax Credit,"The Inflation Reduction Act of 2022 (Public Law 117-169) amended the
Qualified Plug-in Electric Drive Motor Vehicle Credit (IRC 30D), now
known as the Clean Vehicle Credit, and added a new requirement for final
assembly in North America that took effect on August 17, 2022.
Additional requirements apply for vehicles placed in service (delivered)
on or after January 1, 2023, and the amount of the credit will depend on
whether the vehicle meets new critical minerals and battery components
requirements for vehicles placed in service after April 17, 2023. See
the IRS [Clean Vehicle
Credit](https://www.irs.gov/credits-deductions/credits-for-new-electric-vehicles-purchased-in-2022-or-before)
and [final
guidance](https://www.federalregister.gov/documents/2024/05/06/2024-09094/clean-vehicle-credits-under-sections-25e-and-30d-transfer-of-credits-critical-minerals-and-battery)
for more information. Taxpayers who purchase an eligible vehicle may
qualify for a tax credit of up to \$7,500. Additional details are
provided below based on when the vehicle is purchased or
placed-in-service.

::: {.alert .alert-info}
For up-to-date information on eligibility requirements for the Clean
Vehicle Credit or for additional detail, see the [information from the
IRS](https://www.irs.gov/credits-and-deductions-under-the-inflation-reduction-act-of-2022).
For a list of incentives by vehicle, see [Federal Tax Credits on
FuelEconomy.gov](https://www.fueleconomy.gov/feg/taxcenter.shtml).\
\
In accordance with [IRS
regulations](https://www.federalregister.gov/documents/2024/05/06/2024-09094/clean-vehicle-credits-under-sections-25e-and-30d-transfer-of-credits-critical-minerals-and-battery),
beginning January 1, 2024, buyers can reduce the clean vehicle's upfront
purchase price by the amount of their Clean Vehicle Credit by choosing
to transfer their credit to the dealer. Before 2024, eligible clean
vehicle buyers could only receive the amount of their credit after
filing their tax return. Starting January 1, 2024, dealers must submit
information to the IRS through [IRS Energy Credits
Online](https://www.irs.gov/credits-deductions/register-your-dealership-to-enable-credits-for-clean-vehicle-buyers)
to determine vehicle eligibility and amount of a Clean Vehicle Credit at
the point of sale. Without this submission, buyers can't claim a tax
credit on their return nor can they transfer it to a dealer. A dealer
must provide the buyer a copy of the IRS's approval of the dealer's
submission. For up-to-date information for dealers and consumers on the
transfer of tax credits at the point-of-sale, refer to information on
the IRS [Clean Vehicle Tax
Credit](https://www.irs.gov/clean-vehicle-tax-credits) website.
:::

Vehicles Placed in Service on or After April 18, 2023
-----------------------------------------------------

For vehicles delivered on or after April 18, 2023, limitations apply
that went into effect January 1, 2023, related to the vehicle's
manufacturer's suggested retail price (MSRP), the buyer's modified
adjusted gross income, and the vehicle's battery capacity. A North
American final assembly requirement applies for vehicles purchased on or
after August 17, 2022. Additional critical mineral and battery component
requirements also apply as of April 18, 2023, which alter how the tax
credit is calculated and may alter the amount of the tax credit
available. These latter requirements came into effect upon the
publication of the Treasury Department's guidance document regarding the
critical mineral and battery component requirements. Vehicles that meet
the critical mineral requirements are eligible for a \$3,750 tax credit,
and vehicles that meet the battery component requirements are eligible
for a \$3,750 tax credit. Vehicles meeting both the critical mineral and
the battery component requirements are eligible for a total tax credit
of \$7,500.

Vans, sport utility vehicles, and pickup trucks must not have an MSRP
above \$80,000, and all other vehicles may not have an MSRP above
\$55,000. The MSRP can be found on the vehicle's window sticker, which
is also known as the ""Monroney label""; the MSRP for this purpose
includes any trim, options, or accessories for the particular vehicle
and excludes the destination fee and dealer-provided options and
accessories.

Additionally, a taxpayer's eligibility for the tax credit may be limited
by thresholds for modified adjusted gross income (modified AGI); only
individuals having a modified AGI below the following thresholds for the
current tax year or the prior tax year are eligible for the tax credit:

-   \$300,000 for joint filers
-   \$225,000 for head-of-household filers
-   \$150,000 for all other filers

To be eligible for the Clean Vehicle Credit, the battery powering the
vehicle must have a capacity of at least seven kilowatt-hours (kWh). The
amount of the credit depends on whether the vehicle meets certain
critical minerals and battery component requirements.

**Critical Minerals:** To be eligible for the \$3,750 critical minerals
portion of the tax credit, the percentage of the value of the battery's
critical minerals that are extracted or processed in the United States
or a U.S. free-trade agreement partner or recycled in North America,
must meet or exceed the following thresholds:

::: {style=""margin: 0 0 1em 1em;""}
  Year                 Critical minerals minimum percent value requirement
  -------------------- -----------------------------------------------------
  2023                 40%
  2024                 50%
  2025                 60%
  2026                 70%
  2027 and later       80%
:::

**Battery Components:** To be eligible for the \$3,750 battery
components portion of the tax credit, the percentage of the value of the
battery's components that are manufactured or assembled in North America
must meet or exceed the following thresholds:

::: {style=""margin: 0 0 1em 1em;""}
  Year                 Battery components minimum percent value requirement
  -------------------- ------------------------------------------------------
  2023                 50%
  2024 and 2025        60%
  2026                 70%
  2027                 80%
  2028                 90%
  2029 and later       100%
:::

Further guidance on additional 30D requirements is forthcoming. For more
information, including additional eligibility requirements, see the IRS
[Clean Vehicle
Credit](https://www.irs.gov/credits-deductions/credits-for-new-electric-vehicles-purchased-in-2022-or-before)
website.

Vehicles Sold on or After January 1 and Placed-in-Service Before April 18, 2023
-------------------------------------------------------------------------------

Beginning January 1, 2023, the Clean Vehicle Credit (CVC) provisions
removed the manufacturer sales caps for vehicles sold after January 1,
2023, expanded the scope of eligible vehicles to include both EVs and
FCEVs, and required that the battery powering the vehicle has a capacity
of at least seven kilowatt-hours (kWh). An available tax credit under
the CVC may be limited by the vehicle's manufacturer suggested retail
price (MSRP) and the buyer's modified adjusted gross income (as
addressed above). The North American final assembly requirement
continues to apply.

For vehicles placed in service before April 18, 2023, the available CVC
tax credit is a base amount of \$2,500 plus, for a vehicle that draws
propulsion energy from a battery with at least 7 kWh of capacity, \$417,
plus an additional \$417 for each kilowatt hour of battery capacity in
excess of 5 kWh. The total tax credit available for a vehicle may not
exceed \$7,500.

Vehicles Purchased Between August 17 and December 31, 2022
----------------------------------------------------------

Qualifying EVs purchased and delivered between August 17, 2022, and
December 31, 2022, are eligible for the tax incentive as described below
for vehicles purchased before August 17, 2022, but are limited to
[vehicles with final assembly in North
America](https://fueleconomy.gov/feg/taxcenter.shtml). Manufacturer
sales caps on vehicles apply. Note that for some manufacturers, the
assembly location may vary because some models are produced in multiple
locations. The assembly location of a particular vehicle should be
confirmed by referring to its Vehicle Identification Number (VIN) using
the U.S. Department of Transportation's [VIN
decoder](https://www.nhtsa.gov/vin-decoder) or an information label
affixed to the vehicle.

Vehicles Purchased Before August 17, 2022
-----------------------------------------

Qualifying EVs purchased before August 17, 2022, are eligible for a tax
credit that is available for the purchase of a new qualified EV that
draws propulsion from a battery that has at least five kilowatt-hours
(kWh) of capacity, uses an external source of energy to charge the
battery, has a gross vehicle weight rating of up to 14,000 pounds, and
meets specified emission standards. The minimum credit amount is
\$2,500, and the credit may be up to \$7,500 based on each vehicle's
traction battery capacity. The credit will begin to be phased out for
each manufacturer in the second quarter following the calendar quarter
in which a minimum of 200,000 qualified PEVs have been sold by that
manufacturer for use in the United States. This tax credit is also
available for future EV owners with a written binding contract to
purchase a new qualifying electric vehicle before August 16, 2022, but
do not take possession of the vehicle until on or after August 16, 2022.
For more information, including qualifying vehicles and sales by
manufacturer, see the IRS [Clean Vehicle
Credit](https://www.irs.gov/credits-deductions/credits-for-new-electric-vehicles-purchased-in-2022-or-before)
website.

(Reference [Public Law 117-169](https://www.congress.gov/public-laws/117th-congress) and [26 U.S. Code 30D](http://www.gpo.gov/fdsys/))",2008-10-03 00:00:00 UTC,2022-08-16 00:00:00 UTC,false,18,Incentives,U.S. Internal Revenue Service,2022-09-07 14:25:19 UTC,2033-01-01 00:00:00 UTC,,,"",ELEC|HY|PHEV,TAX,"",FLEET|IND,https://www.congress.gov/112/plaws/publ240/PLAW-112publ240.pdf|https://www.congress.gov/public-laws/117th-congress|http://www.gpo.gov/fdsys/,amended,2022-08-16
411,US,Advanced Technology Vehicle (ATV) and Alternative Fuel Infrastructure Manufacturing Incentives,"The U.S. Department of Energy's (DOE) Advanced Technology Vehicles
Manufacturing Loan Program may offer direct loans to eligible
manufacturers for up to 30% of the cost of re-equipping, expanding, or
establishing manufacturing facilities in the United States used to
produce qualified ATVs, ATV components, or alternative fuel
infrastructure, including associated hardware and software. Qualified
ATVs are light-, medium-, and heavy-duty ultra-efficient vehicles that
meet specified federal emission standards and fuel economy requirements,
and emit low or zero exhaust. Ultra-efficient vehicles are fully closed
compartment vehicles, designed to carry at least two adult passengers,
which achieve at least 75 miles per gallon while operating on gasoline
or diesel fuel, as hybrid electric vehicles operating on gasoline or
diesel fuel, or as fully electric vehicles. Qualified components must be
designed for ATVs and installed for the purpose of meeting ATV
performance requirements, as determined by DOE. For more information,
see the DOE's [ATVs Manufacturing Loan
Program](https://www.energy.gov/lpo/products-services/advanced-technology-vehicles-manufacturing-loan-program)
website, the [ATVs Manufacturing Loan
Program](https://www.energy.gov/sites/default/files/2020/01/f70/DOE-LPO-ATVM-Jan2020.pdf)
fact sheet, and the [final
rule](https://www.federalregister.gov/documents/2024/04/29/2024-09105/statutory-updates-to-the-advanced-technology-vehicles-manufacturing-program).

(Reference [42 U.S. Code 17013](https://www.govinfo.gov/) and [Public Law 117-169](https://www.congress.gov/public-laws/117th-congress))",2007-12-17 00:00:00 UTC,2021-08-16 00:00:00 UTC,false,,Incentives,U.S. Department of Energy,2022-11-10 01:00:13 UTC,,,,"",ELEC|EFFEC|HEV|PHEV,LOANS,"",MAN,https://www.congress.gov/public-laws/117th-congress|https://www.govinfo.gov/|https://www.congress.gov/public-laws/117th-congress,amended,2021-08-16
